slang_term,meaning,slang_sentence,normal_sentence,source
ETA,when you'll arrive,Just checking your ETA so I can start the oven.,Just checking when you'll get here so I can start the oven.,grok
Reply All,send reply to whole group,Please don't reply all with your vacation photos.,Please don't send your vacation photos to the whole email chain.,grok
Boundaries,personal limits,I'm setting firmer boundaries about weekend work texts.,I'm setting firmer personal limits about weekend work texts.,grok
U-L,you will,U-L regret skipping that concert with us tonight.,You will regret skipping that concert with us tonight.,grok
Body count,sexual partners number,"I never ask about anyone's body count, that's private stuff.","I never ask how many people someone has slept with, that's private stuff.",grok
RX,regards,"Thanks for the notes from class, RX.","Thanks for the notes from class, regards.",grok
Hot Girl Walk,confident walk,Need to clear my mind so I'm heading out for a hot girl walk.,Need to clear my mind so I'm heading out for a confident walk.,grok
High Effort,max work put in,That birthday cake was high effort and tasted even better.,That birthday cake took so much work and tasted even better.,grok
DIIK,no idea at all,Why is the WiFi down again? DIIK.,Why is the WiFi down again? I have no idea.,grok
Dad,admire like a parent,"Her advice always hits different, she's my dad now.","Her advice always hits different, I look up to her so much.",grok
BAY,same to you,Hope your interview goes well! BAY.,Hope your interview goes well! Right back at you.,grok
Old Money,classic rich look,The whole room is decorated old money with those gold frames.,The whole room looks classically rich with those gold frames.,grok
TDTM,talk dirty to me,"Bored on this long drive, TDTM to keep me awake.","Bored on this long drive, talk dirty to me to keep me awake.",grok
LTOD,dying laptop,My LTOD shut off right before I saved the file.,My dying laptop shut off right before I saved the file.,grok
Af,intensely so,That hike left me sore af the next morning.,That hike left me crazy sore the next morning.,grok
RU,are you,RU still down for pizza later or what?,Are you still down for pizza later or what?,grok
ARG,heated argument,We had a huge ARG about whose turn it was to clean.,We had a huge fight about whose turn it was to clean.,grok
ADIH,another terrible day,"Rain, flat tire, then spilled coffee—ADIH.","Rain, flat tire, then spilled coffee—just another awful day.",grok
86,completely over,"That whole drama is 86, I'm moving on.","That whole drama is done, I'm moving on.",grok
It’s Giving,feels exactly like,It’s giving early 2000s nostalgia with that playlist.,It feels exactly like early 2000s nostalgia with that playlist.,grok
Evil Eye,jealousy curse,Don't flex the new car too hard or you'll catch the evil eye.,Don't flex the new car too hard or jealous people will curse you.,grok
Soft Launch,subtle reveal,She soft launched the engagement with just a hand photo.,She subtly revealed the engagement with just a hand photo.,grok
YKWYCD,you know what you can do,"Keep complaining if you want, but YKWYCD.","Keep complaining if you want, but you know what you can do.",grok
Eboy,internet emo guy,He showed up looking like a full eboy with the bangs and rings.,He showed up looking like a full online emo guy with the bangs and rings.,grok
BLNT,better luck next time,"Didn't make the team this year, BLNT I guess.","Didn't make the team this year, better luck next time I guess.",grok
Standing on Business,being dead serious,He's standing on business by cutting out all the late nights.,He's being dead serious by cutting out all the late nights.,grok
OOC,unlike usual self,"Skipping the game is so OOC for her, something's up.","Skipping the game is so unlike her, something's up.",grok
DR,didn't read it,"That post was a novel so DR, fill me in quick.","That post was a novel so I didn't read it, fill me in quick.",grok
I oop,oops reaction,"I oop, I just waved at someone who wasn't waving at me.","Oh no, I just waved at someone who wasn't even looking at me.",grok
WISP,winning feels great,"Finally hit that high score, total WISP vibe.",I finally hit that high score and it feels amazing.,grok
CHK,check,Hey can you CHK if the oven is still on?,Hey can you see if the oven is still on?,grok
WAT,what,WAT even happened in that last episode?,What even happened in that last episode?,grok
lowkey af,very secretly,I'm lowkey af obsessed with that new playlist.,I'm secretly really obsessed with that new playlist.,grok
GNE1,good night everyone,"GNE1, catching up on sleep tonight.","Good night everyone, I'm catching up on sleep tonight.",grok
KMK,kiss my ass,You hate my outfit? KMK then.,You hate my outfit? Kiss my ass then.,grok
VBL,visible bra line,This top is cute but the VBL is crazy.,This top is cute but you can totally see my bra lines.,grok
JOMO,joy of missing out,Skipped the concert and just felt pure JOMO at home.,Skipped the concert and was happy just staying home.,grok
WIIFM,what's in it for me,Sounds cool but WIIFM if I join the group?,Sounds cool but what's in it for me if I join the group?,grok
Ride or Die,loyal friend,She's been my ride or die since middle school.,She's been my most loyal friend since middle school.,grok
BASIC,mainstream,Ordering avocado toast is so BASIC these days.,Ordering avocado toast is so mainstream these days.,grok
H-MDAY,happy mother's day,"H-MDAY mom, love you more than coffee!","Happy Mother's Day mom, love you more than coffee!",grok
Glow Filter,beauty effect,Had to slap on the Glow Filter before posting.,Had to use the soft glow effect before posting.,grok
URTM,you're the man,Got us free tickets? URTM for real.,Got us free tickets? You're the best for real.,grok
IWALU,always love you,"Even when we argue, IWALU forever.","Even when we argue, I will always love you.",grok
JFF,just for fun,We're doing karaoke tonight purely JFF.,We're doing karaoke tonight just for fun.,grok
UNPC,not politically correct,That old sitcom is super UNPC now.,That old sitcom is super not politically correct now.,grok
throwing af,throwing a fit,He started throwing af over a parking spot.,He started yelling and losing it over a parking spot.,grok
PLZ,please,Pass the remote PLZ before the show starts.,Pass the remote please before the show starts.,grok
Pick me girl,attention-seeking girl,"She keeps saying she's not like other girls, classic pick me girl.",She keeps saying she's not like other girls just to get guys' attention.,grok
NIROK,away from keyboard,"Sorry for the late reply, was NIROK all day.","Sorry for the late reply, I was away from my keyboard all day.",grok
KIA,know-it-all,Nobody asked but he still acted like a total KIA.,Nobody asked but he still acted like he knew everything.,grok
Plot Armor,story protection,That hero has ridiculous plot armor in every fight.,That hero somehow never dies no matter how bad the fight gets.,grok
CSL,can't stop laughing,Your story about the dog has me CSL.,Your story about the dog has me laughing nonstop.,grok
DMY,don't mess yourself up,"Whoa, slow down on that skateboard, DMY out there.","Whoa, slow down on that skateboard, don't mess yourself up out there.",grok
Smooth Move,clever action,Smooth move snagging those tickets before they sold out.,Nice one grabbing those tickets before they sold out.,grok
UOK,are you okay,"Saw you trip hard earlier, UOK?","Saw you trip hard earlier, are you alright?",grok
SUTH,so used to haters,They keep dragging me online but I'm SUTH by now.,They keep talking trash online but I've heard it all before.,grok
ADIP,another day in paradise,"Stuck in traffic again, just ADIP.","Stuck in traffic again, just living the dream.",grok
RTFM,read the manual,"Stop asking me every setting, just RTFM already.","Stop asking me every setting, just look it up yourself.",grok
CMIIW,correct me if wrong,CMIIW but I think class starts at noon today.,I could be wrong but I think class starts at noon today.,grok
